studentId,level,dataSource,is_proficient,proficient_score,school_Elementary A,school_Elementary School B,school_Elementary School E,school_Elementary School F,school_Intermediate School E,school_Middle School A,school_Middle School C,school_Middle School D,school_Middle School F,iready_math,iready_reading,past_proficient_score,subject_math,subject_reading,subject_science,subject_social-studies,subject_music,subject_art,subject_performing-arts,subject_phys-ed,subject_career-prep
44852,7,value_scantronMath,False,0.9296390812978492,False,False,False,False,False,True,False,False,False,0,0,0.9801869158878505,2,2,2,2,0,0,0,0,0
44853,7,value_scantronMath,False,0.9607485721229798,False,False,False,False,False,True,False,False,False,0,0,0.9439252336448598,2,2,2,1,0,0,0,0,0
44854,7,value_scantronMath,True,1.000364564345607,False,False,False,False,False,True,False,False,False,0,0,0.9738317757009346,2,2,2,2,1,0,0,0,0
44855,7,value_scantronMath,False,0.9684044233807269,False,False,False,False,False,True,False,False,False,0,0,0.9979439252336448,2,2,1,2,0,0,0,0,0
44856,7,value_scantronMath,False,0.9010815408919672,False,False,False,False,False,True,False,False,False,0,0,0.94,2,2,2,2,0,0,0,0,0
44857,7,value_scantronMath,False,0.951148377688662,False,False,False,False,False,True,False,False,False,0,0,0.985981308411215,2,2,2,1,0,0,0,0,0
44858,7,value_scantronMath,False,0.8614655486693401,False,False,False,False,False,True,False,False,False,0,0,0.9500934579439252,2,2,2,2,0,0,0,0,0
44859,7,value_scantronMath,True,1.0195649532142423,False,False,False,False,False,True,False,False,False,0,0,0.995140186915888,2,2,2,2,1,0,0,0,0
44860,7,value_scantronMath,False,0.983594604447685,False,False,False,False,False,True,False,False,False,0,0,0.9867289719626168,2,2,1,2,0,0,0,0,0
44861,6,value_scantronMath,False,0.9597550306211724,False,False,False,False,False,True,False,False,False,0,0,0.9781346749226006,2,2,2,2,0,0,0,0,0
44862,6,value_scantronMath,False,0.9408823897012872,False,False,False,False,False,True,False,False,False,0,0,0.9407894736842104,2,2,2,2,1,0,0,0,0
44863,7,value_scantronMath,False,0.985781990521327,False,False,False,False,False,True,False,False,False,0,0,0.9730841121495328,2,2,2,2,1,0,0,0,0
44864,7,value_scantronMath,False,0.9831085186535424,False,False,False,False,False,True,False,False,False,0,0,1.0153271028037385,2,2,2,1,0,0,0,0,0
44865,7,value_scantronMath,False,0.971928545388261,False,False,False,False,False,True,False,False,False,0,0,1.0241121495327103,2,2,1,2,0,0,0,0,0
44866,7,value_scantronMath,True,1.013124316441852,False,False,False,False,False,True,False,False,False,0,0,1.0418691588785047,2,2,1,2,0,0,0,0,0
44867,7,value_scantronMath,False,0.9877263336978978,False,False,False,False,False,True,False,False,False,0,0,1.0138317757009343,2,2,2,1,0,0,0,0,0
44868,7,value_scantronMath,True,1.0019443431765709,False,False,False,False,False,True,False,False,False,0,0,1.0465420560747662,2,2,2,2,1,0,0,0,0
44869,7,value_scantronMath,False,0.9275732166727428,False,False,False,False,False,True,False,False,False,0,0,0.9555140186915888,2,2,1,2,0,0,0,0,0
44871,7,value_scantronMath,True,1.0002430428970712,False,False,False,False,False,True,False,False,False,0,0,1.0209345794392524,2,2,1,2,0,0,0,0,0
44872,7,value_scantronMath,False,0.8867420099647588,False,False,False,False,False,True,False,False,False,0,0,0.971588785046729,2,2,2,1,0,0,0,0,0
44873,7,value_scantronMath,True,1.0723052618787217,False,False,False,False,False,True,False,False,False,0,0,1.0609345794392524,2,2,2,1,0,0,0,0,0
44874,7,value_scantronMath,False,0.9860250334183984,False,False,False,False,False,True,False,False,False,0,0,1.0052336448598131,2,2,1,2,0,0,0,0,0
44875,7,value_scantronMath,False,0.9362012395187752,False,False,False,False,False,True,False,False,False,0,0,0.9226168224299064,2,2,2,2,0,0,0,0,0
44876,7,value_scantronMath,True,1.0924778223356422,False,False,False,False,False,True,False,False,False,0,0,1.0663551401869158,2,2,2,2,1,0,0,0,0
44877,7,value_scantronMath,False,0.921254101348888,False,False,False,False,False,True,False,False,False,0,0,0.9370093457943924,2,2,2,2,0,0,0,0,0
44878,7,value_scantronMath,True,1.0701178758050796,False,False,False,False,False,True,False,False,False,0,0,1.0717757009345794,2,2,2,1,0,0,0,0,0
44879,7,value_scantronMath,True,1.0334183983473082,False,False,False,False,False,True,False,False,False,0,0,1.034018691588785,2,2,2,2,0,0,0,0,0
44880,7,value_scantronMath,True,1.0633126746870822,False,False,False,False,False,True,False,False,False,0,0,1.0613084112149531,2,2,2,1,0,0,0,0,0
44881,7,value_scantronMath,True,1.0097217158828533,False,False,False,False,False,True,False,False,False,0,0,1.0201869158878505,2,2,1,2,0,0,0,0,0
44882,7,value_scantronMath,False,0.9637866083363712,False,False,False,False,False,True,False,False,False,0,0,0.9373831775700936,2,2,2,2,0,0,0,0,0
44883,7,value_scantronMath,False,0.8835824523028314,False,False,False,False,False,True,False,False,False,0,0,0.9254205607476635,2,2,2,2,0,0,0,0,0
44884,6,value_scantronMath,False,0.8536432945881764,False,False,False,False,False,True,False,False,False,0,0,0.8045665634674922,2,2,2,2,1,0,0,0,0
44885,6,value_scantronMath,False,0.9398825146856642,False,False,False,False,False,True,False,False,False,0,0,0.9285990712074303,2,2,2,2,0,0,0,0,0
44886,7,value_scantronMath,False,0.955887714181553,False,False,False,False,False,True,False,False,False,0,0,0.9514018691588784,2,2,2,2,0,0,0,0,0
44887,7,value_scantronMath,True,1.022602989427634,False,False,False,False,False,True,False,False,False,0,0,1.0151401869158878,2,2,1,2,0,0,0,0,0
44888,7,value_scantronMath,True,1.084943492526431,False,False,False,False,False,True,False,False,False,0,0,1.096822429906542,2,2,2,2,1,0,0,0,0
44889,7,value_scantronMath,False,0.977761574917973,False,False,False,False,False,True,False,False,False,0,0,0.9622429906542056,2,2,2,1,0,0,0,0,0
44890,6,value_scantronMath,False,0.971628546431696,False,False,False,False,False,True,False,False,False,0,0,0.9781346749226006,2,2,2,2,1,0,0,0,0
44891,7,value_scantronMath,False,0.958804228946409,False,False,False,False,False,True,False,False,False,0,0,0.9900934579439252,2,2,1,2,0,0,0,0,0
44892,7,value_scantronMath,True,1.0006076072426784,False,False,False,False,False,True,False,False,False,0,0,1.026355140186916,2,2,2,2,0,0,0,0,0
44893,7,value_scantronMath,False,0.8129784907036092,False,False,False,False,False,True,False,False,False,0,0,0.8889719626168224,2,2,2,1,0,0,0,0,0
44895,7,value_scantronMath,False,0.9643942155790498,False,False,False,False,False,True,False,False,False,0,0,0.999252336448598,2,2,2,2,1,0,0,0,0
44896,7,value_scantronMath,False,0.994166970470288,False,False,False,False,False,True,False,False,False,0,0,0.9672897196261684,2,2,2,1,0,0,0,0,0
44897,6,value_scantronMath,False,0.9158855143107112,False,False,False,False,False,True,False,False,False,0,0,0.9529798761609908,2,2,2,2,0,0,0,0,0
44898,7,value_scantronMath,False,0.9761817960870092,False,False,False,False,False,True,False,False,False,0,0,1.0042990654205608,2,2,1,2,0,0,0,0,0
44899,7,value_scantronMath,True,1.005833029529712,False,False,False,False,False,True,False,False,False,0,0,0.9814953271028036,2,2,1,2,1,0,0,0,0
44900,7,value_scantronMath,False,0.94166970470288,False,False,False,False,False,True,False,False,False,0,0,0.9717757009345794,2,2,2,1,1,0,0,0,0
44901,7,value_scantronMath,False,0.9318264673714912,False,False,False,False,False,True,False,False,False,0,0,0.9508411214953272,2,2,2,1,1,0,0,0,0
44902,6,value_scantronMath,False,0.897137857767779,False,False,False,False,False,True,False,False,False,0,0,0.9241486068111456,2,2,2,2,0,0,0,0,0
44903,7,value_scantronMath,False,0.9335277676509904,False,False,False,False,False,True,False,False,False,0,0,0.954018691588785,2,2,2,1,1,0,0,0,0
44904,7,value_scantronMath,False,0.9031474055170738,False,False,False,False,False,True,False,False,False,0,0,0.9457943925233644,2,2,2,2,1,0,0,0,0
44905,7,value_scantronMath,False,0.9348645035848828,False,False,False,False,False,True,False,False,False,0,0,0.9071028037383178,2,2,2,1,0,0,0,0,0
44906,7,value_scantronMath,False,0.8756835581480131,False,False,False,False,False,True,False,False,False,0,0,0.917196261682243,2,2,2,2,0,0,0,0,0
44907,7,value_scantronMath,False,0.9585611860493376,False,False,False,False,False,True,False,False,False,0,0,0.9745794392523364,2,2,1,2,1,0,0,0,0
44908,7,value_scantronMath,False,0.9572244501154452,False,False,False,False,False,True,False,False,False,0,0,0.9478504672897196,2,2,2,2,1,0,0,0,0
44909,7,value_scantronMath,True,1.0280714546117389,False,False,False,False,False,True,False,False,False,0,0,1.02392523364486,2,2,2,2,1,0,0,0,0
44910,7,value_scantronMath,False,0.949690120306234,False,False,False,False,False,True,False,False,False,0,0,0.945607476635514,2,2,2,2,0,0,0,0,0
44911,7,value_scantronMath,False,0.969376594969012,False,False,False,False,False,True,False,False,False,0,0,0.975140186915888,2,2,1,2,0,0,0,0,0
44912,7,value_scantronMath,False,0.917608457892818,False,False,False,False,False,True,False,False,False,0,0,0.9315887850467288,2,2,2,2,0,0,0,0,0
44913,7,value_scantronMath,False,0.9142058573338192,False,False,False,False,False,True,False,False,False,0,0,0.9014953271028038,2,2,2,2,1,0,0,0,0
44914,6,value_scantronMath,False,0.9612548431446069,False,False,False,False,False,True,False,False,False,0,0,0.9587848297213624,2,2,2,2,0,0,0,0,0
44915,6,value_scantronMath,False,0.9142607174103238,False,False,False,False,False,True,False,False,False,0,0,0.8788699690402477,2,2,2,2,0,0,0,0,0
44916,7,value_scantronMath,True,1.017134524243529,False,False,False,False,False,True,False,False,False,0,0,1.0261682242990655,2,2,1,2,0,0,0,0,0
44917,7,value_scantronMath,False,0.9925871916393244,False,False,False,False,False,True,False,False,False,0,0,0.9364485981308412,2,2,2,1,1,0,0,0,0
44918,6,value_scantronMath,False,0.9088863892013498,False,False,False,False,False,True,False,False,False,0,0,0.919891640866873,2,2,2,2,0,0,0,0,0
44919,7,value_scantronMath,False,0.8888078745898651,False,False,False,False,False,True,False,False,False,0,0,0.9071028037383178,2,2,2,2,0,0,0,0,0
44920,6,value_scantronMath,False,0.9676290463692038,False,False,False,False,False,True,False,False,False,0,0,0.9671052631578948,2,2,2,2,0,0,0,0,0
44921,7,value_scantronMath,False,0.90156762668611,False,False,False,False,False,True,False,False,False,0,0,0.9252336448598132,2,2,1,2,0,0,0,0,0
44922,7,value_scantronMath,False,0.9331632033053834,False,False,False,False,False,True,False,False,False,0,0,0.9196261682242992,2,2,2,2,0,0,0,0,0
44923,6,value_scantronMath,False,0.8368953880764904,False,False,False,False,False,True,False,False,False,0,0,0.9191176470588236,2,2,2,2,0,0,0,0,0
44924,7,value_scantronMath,False,0.9829869972050068,False,False,False,False,False,True,False,False,False,0,0,0.9725233644859812,2,2,2,2,1,0,0,0,0
44925,6,value_scantronMath,False,0.9618797650293712,False,False,False,False,False,True,False,False,False,0,0,0.9827786377708978,2,2,2,2,0,0,0,0,0
44926,7,value_scantronMath,False,0.9560092356300888,False,False,False,False,False,True,False,False,False,0,0,0.9502803738317755,2,2,2,2,0,0,0,0,0
44927,7,value_scantronMath,False,0.9532142423137684,False,False,False,False,False,True,False,False,False,0,0,0.9493457943925232,2,2,1,2,0,0,0,0,0
44928,7,value_scantronMath,True,1.0631911532385467,False,False,False,False,False,True,False,False,False,0,0,1.0398130841121496,2,2,1,2,0,0,0,0,0
44929,7,value_scantronMath,False,0.9589257503949448,False,False,False,False,False,True,False,False,False,0,0,0.9826168224299066,2,2,2,2,1,0,0,0,0
44930,7,value_scantronMath,False,0.9546724996961964,False,False,False,False,False,True,False,False,False,0,0,0.954392523364486,2,2,2,1,0,0,0,0,0
44931,7,value_scantronMath,False,0.970470288005833,False,False,False,False,False,True,False,False,False,0,0,0.9867289719626168,2,2,2,2,1,0,0,0,0
44932,7,value_scantronMath,False,0.90156762668611,False,False,False,False,False,True,False,False,False,0,0,0.9065420560747663,2,2,1,2,1,0,0,0,0
44933,7,value_scantronMath,False,0.9218617085915664,False,False,False,False,False,True,False,False,False,0,0,0.9534579439252336,2,2,2,1,0,0,0,0,0
44934,7,value_scantronMath,False,0.95260663507109,False,False,False,False,False,True,False,False,False,0,0,0.9282242990654206,2,2,1,2,0,0,0,0,0
44935,7,value_scantronMath,False,0.9790983108518652,False,False,False,False,False,True,False,False,False,0,0,0.9885981308411216,2,2,2,1,0,0,0,0,0
44936,6,value_scantronMath,False,0.9532558430196226,False,False,False,False,False,True,False,False,False,0,0,0.9634287925696594,2,2,2,2,0,0,0,0,0
44938,7,value_scantronMath,False,0.9612346579171224,False,False,False,False,False,True,False,False,False,0,0,0.9835514018691588,2,2,1,2,0,0,0,0,0
44939,7,value_scantronMath,True,1.058208773848584,False,False,False,False,False,True,False,False,False,0,0,1.0452336448598132,2,2,2,2,0,0,0,0,0
44940,7,value_scantronMath,False,0.9608700935715152,False,False,False,False,False,True,False,False,False,0,0,0.9979439252336448,2,2,2,2,0,0,0,0,0
44941,7,value_scantronMath,True,1.0432616356786972,False,False,False,False,False,True,False,False,False,0,0,1.0153271028037385,2,2,2,2,0,0,0,0,0
44942,6,value_scantronMath,False,0.9126359205099362,False,False,False,False,False,True,False,False,False,0,0,0.8964783281733746,2,2,2,2,1,0,0,0,0
44943,6,value_scantronMath,True,1.0043744531933507,False,False,False,False,False,True,False,False,False,0,0,0.9976780185758514,2,2,2,2,1,0,0,0,0
44944,6,value_scantronMath,True,1.0026246719160106,False,False,False,False,False,True,False,False,False,0,0,0.968266253869969,2,2,2,2,0,0,0,0,0
44946,6,value_scantronMath,True,1.0227471566054245,False,False,False,False,False,True,False,False,False,0,0,1.005998452012384,2,2,2,2,1,0,0,0,0
44947,6,value_scantronMath,False,0.9925009373828272,False,False,False,False,False,True,False,False,False,0,0,1.0106424148606812,2,2,2,2,0,0,0,0,0
44948,6,value_scantronMath,False,0.9458817647794026,False,False,False,False,False,True,False,False,False,0,0,0.9260835913312694,2,2,2,2,1,0,0,0,0
44949,6,value_scantronMath,False,0.9997500312460944,False,False,False,False,False,True,False,False,False,0,0,1.02515479876161,2,2,2,2,0,0,0,0,0
44950,6,value_scantronMath,False,0.9702537182852145,False,False,False,False,False,True,False,False,False,0,0,0.9978715170278638,2,2,2,2,1,0,0,0,0
44951,6,value_scantronMath,True,1.032495938007749,False,False,False,False,False,True,False,False,False,0,0,1.0234133126934986,2,2,2,2,0,0,0,0,0
44952,6,value_scantronMath,False,0.9541307336582928,False,False,False,False,False,True,False,False,False,0,0,0.9982585139318886,2,2,2,2,0,0,0,0,0
44953,6,value_scantronMath,False,0.9743782027246594,False,False,False,False,False,True,False,False,False,0,0,0.9976780185758514,2,2,2,2,0,0,0,0,0
44954,6,value_scantronMath,True,1.007124109486314,False,False,False,False,False,True,False,False,False,0,0,0.9914860681114552,2,2,2,2,0,0,0,0,0
44955,6,value_scantronMath,False,0.9900012498437696,False,False,False,False,False,True,False,False,False,0,0,1.0170278637770898,2,2,2,2,0,0,0,0,0
44956,6,value_scantronMath,False,0.9668791401074864,False,False,False,False,False,True,False,False,False,0,0,0.9963235294117648,2,2,2,2,1,0,0,0,0
44957,6,value_scantronMath,False,0.99262592175978,False,False,False,False,False,True,False,False,False,0,0,0.9794891640866872,2,2,2,2,0,0,0,0,0
