studentId,mean_proficiency_2017,mean_proficiency_2018,studentLevel2017,studentLevel2018
44777,0.9692785640317569,0.993342360640939,6,7
44783,1.0096651708664135,0.9971789663732792,6,7
44784,0.9343541006687786,0.9472771418661118,5,6
44807,1.02865032792544,1.0146693748589484,6,7
44809,0.9490852606144287,0.9346648612051456,6,7
44810,0.9156023472557819,0.9242834574588129,6,7
44811,0.8522609596133932,0.9049875874520424,6,7
44812,0.6555056955471177,0.6550440081245769,6,7
44814,0.9982740766309977,1.0120740239223651,6,7
44815,0.9461457233368532,0.948086483986588,5,6
44816,0.8960994131860545,0.8979914240577748,6,7
44817,0.9318260269244045,0.8976529000225683,6,7
44818,0.9380393510528132,0.8772286165651094,6,7
44819,1.0610976872626856,1.034529451591063,6,7
44820,0.9704867103900587,0.9649063416835929,6,7
44822,0.8510528132550915,0.8171970209884902,6,7
44823,0.8888505350362443,0.874746106973595,6,7
44824,0.9696237487055575,0.9433536447754457,6,7
44828,0.8177424922333448,0.8111035883547731,6,7
44830,1.0610700457585356,1.0918025205226038,5,6
44831,1.057374164026751,1.0551508844953175,5,6
44832,0.7963410424577149,0.7175581132927104,6,7
44833,0.8579565067311012,0.9508011735499887,6,7
44834,1.0056955471177078,1.015684946964568,6,7
44835,1.0231273731446324,0.9626495147822162,6,7
44836,1.02865032792544,1.0256149853306251,6,7
44837,1.0469451156368659,0.9802527646129543,6,7
44838,1.0231273731446322,1.0199729180771835,6,7
44839,0.983603727994477,1.0099300383660574,6,7
44840,1.0462547462892648,1.0806815617242158,6,7
44841,0.9188816016568864,0.942450914014895,6,7
44842,1.0037970314118052,1.0042879711126156,6,7
44843,1.0554021401449776,1.0398329948092981,6,7
44844,0.8396617190196756,0.8993455201986008,6,7
44845,1.0343189017951424,0.9963001503063937,5,6
44846,1.0674836037279944,1.0687203791469193,6,7
44847,0.9280183034142907,0.9586079315527806,5,6
44848,0.9582893347412883,0.9485489651982889,5,6
44849,1.0036244390749052,1.0835025953509365,6,7
44850,0.8889475536782823,0.9114348479593017,5,6
44851,1.0726613738350017,1.0710900473933649,6,7
44852,0.9278564031756991,1.0134281200631912,6,7
44853,0.9487400759406283,0.9838636876551569,6,7
44854,1.0433206765619607,1.0204242834574588,6,7
44855,1.0267518122195374,1.0204242834574588,6,7
44856,0.9596133931653434,1.0066576393590612,6,7
44857,0.9054193993786677,0.9313924621981494,6,7
44858,0.9464963755609251,0.8395396073121192,6,7
44859,0.9848118743527787,0.9636650868878357,6,7
44860,1.037797721781153,1.0794403069284586,6,7
44861,0.957233368532207,0.9720198866921032,5,6
44862,0.771735304470257,0.8374378540871777,5,6
44863,1.0621332412840871,1.0965921913789212,6,7
44864,0.979288919571971,1.0604829609568946,6,7
44865,0.961511908871246,1.0347551342812007,6,7
44866,1.0321021746634451,1.0742496050552923,6,7
44867,0.9820503969623748,1.0069961633942677,6,7
44868,1.0457369692785639,1.0329496727600993,6,7
44869,0.9492578529513289,0.9598284811554953,6,7
44871,1.0241629271660337,1.027758970886933,6,7
44872,0.9880911287538834,1.0230196343940419,6,7
44873,1.1468760787021055,1.1524486571879937,6,7
44874,1.0588539868829825,1.0610471676822388,6,7
44875,0.9789437348981704,1.0293387497178967,6,7
44876,1.0643769416637903,1.1005416384563305,6,7
44877,0.8874697963410425,0.9091627172195893,6,7
44878,1.0574732481877804,1.0160234709997742,6,7
44879,1.0624784259578874,1.0797788309636651,6,7
44880,0.9982740766309977,1.0188445046264951,6,7
44881,0.9820503969623748,1.0652222974497856,6,7
44882,0.9911977908180877,1.0379146919431281,6,7
44883,0.9408008284432172,0.9694199954863462,6,7
